"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","stimulus","phase","set_duration","target_interval","reproduced_interval","reproduction_error"
"414"," ","html-keyboard-response","1547","1203239","0.0-1547.0","","","go","","300","414","114"
"null","null","html-keyboard-response","1548","1203740","0.0-1548.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1549","1204743","0.0-1549.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 257 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1550","1205246","0.0-1550.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1551","1206148","0.0-1551.0","","","isi","","","",""
"null","null","html-keyboard-response","1552","1206651","0.0-1552.0","","<div class=""circle set""></div>","set","500","","",""
"970"," ","html-keyboard-response","1553","1207621","0.0-1553.0","","","go","","900","970","70"
"null","null","html-keyboard-response","1554","1208123","0.0-1554.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1555","1209126","0.0-1555.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 258 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1556","1209628","0.0-1556.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1557","1209930","0.0-1557.0","","","isi","","","",""
"null","null","html-keyboard-response","1558","1210433","0.0-1558.0","","<div class=""circle set""></div>","set","500","","",""
"400"," ","html-keyboard-response","1559","1210833","0.0-1559.0","","","go","","300","400","100"
"null","null","html-keyboard-response","1560","1211334","0.0-1560.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1561","1212337","0.0-1561.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 259 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1562","1212840","0.0-1562.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1563","1213742","0.0-1563.0","","","isi","","","",""
"null","null","html-keyboard-response","1564","1214244","0.0-1564.0","","<div class=""circle set""></div>","set","500","","",""
"763"," ","html-keyboard-response","1565","1215008","0.0-1565.0","","","go","","900","763","-137"
"null","null","html-keyboard-response","1566","1215509","0.0-1566.0","","<div class=""circle""></div>","feedback_circle","","","",""
