"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","stimulus","phase","set_duration","target_interval","reproduced_interval","reproduction_error"
"null","null","html-keyboard-response","1159","901726","0.0-1159.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1160","902727","0.0-1160.0","","","isi","","","",""
"null","null","html-keyboard-response","1161","903229","0.0-1161.0","","<div class=""circle set""></div>","set","500","","",""
"1438"," ","html-keyboard-response","1162","904668","0.0-1162.0","","","go","","1000","1438","438"
"null","null","html-keyboard-response","1163","905169","0.0-1163.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1164","906172","0.0-1164.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 193 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1165","906674","0.0-1165.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1166","907977","0.0-1166.0","","","isi","","","",""
"null","null","html-keyboard-response","1167","908479","0.0-1167.0","","<div class=""circle set""></div>","set","500","","",""
"1563"," ","html-keyboard-response","1168","910044","0.0-1168.0","","","go","","1300","1563","263"
"null","null","html-keyboard-response","1169","910545","0.0-1169.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1170","911548","0.0-1170.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 194 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1171","912049","0.0-1171.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1172","913351","0.0-1172.0","","","isi","","","",""
"null","null","html-keyboard-response","1173","913853","0.0-1173.0","","<div class=""circle set""></div>","set","500","","",""
"1374"," ","html-keyboard-response","1174","915229","0.0-1174.0","","","go","","1300","1374","74"
